نام خیابان,جداره و نما,کف سازی پیاده روها,مبلمان شهری,تبلیغات محیطی,عناصر شهری,المان های شهری,جریان سطحی آب و زه کشی,کل ابعاد کالبدی و فیزیکی,طرح کاشت,آسایش محیطی,کل ابعاد طبیعی و اکولوژی,اختلاط کاربری,فعالیت در فضاهای عمومی,کل عملکردی,خوانایی فضایی,دسترس پذیری,ایمنی و امنیت,کل حرکتی,اجتماعی,فرهنگی,کل اجتماعی و فرهنگی,امتیاز کل
افضلی,6.29,7.86,4.53,3.0,1.0,0.43,4.14,27.24,2.43,1.57,4.0,3.86,1.71,5.57,5.71,1.14,1.71,8.57,3.0,0.71,3.71,49.1
جمهوری,5.0,7.22,3.58,2.78,1.33,0.33,3.11,23.36,3.11,1.44,4.56,4.56,1.44,6.0,4.89,1.56,0.56,7.0,2.78,0.89,3.67,44.58
حافظ,7.75,9.75,6.26,4.25,2.62,2.25,5.0,37.89,4.62,2.75,7.38,4.5,3.25,7.75,7.25,2.75,1.5,11.5,4.62,3.0,7.62,72.14
دکتر شریعتی,6.62,9.0,6.08,3.88,1.62,1.0,4.75,32.95,4.0,2.12,6.12,4.5,3.0,7.5,6.88,2.38,1.12,10.38,4.38,1.88,6.25,63.2
رودکی,4.12,5.75,3.06,2.62,0.5,0.0,2.12,18.19,2.5,0.38,2.88,3.75,0.25,4.0,4.25,1.5,0.75,6.5,1.5,0.38,1.88,33.44
زند,6.7,8.3,4.43,2.8,1.0,0.5,4.2,27.93,2.8,0.9,3.7,4.5,2.2,6.7,6.4,1.5,1.4,9.3,3.3,1.2,4.5,52.13
ستارخان,5.86,6.86,3.9,3.29,0.71,0.57,3.14,24.33,2.29,1.29,3.57,3.29,0.57,3.86,4.86,1.57,0.43,6.86,2.57,1.43,4.0,42.61
سعدی,7.22,9.78,5.94,4.44,1.67,1.67,4.78,35.5,3.78,2.56,6.33,4.56,2.22,6.78,7.67,2.78,1.56,12.0,3.78,3.44,7.22,67.83
صدرا,8.5,9.5,6.63,3.7,2.6,1.3,6.1,38.33,4.5,2.3,6.8,4.4,1.4,5.8,7.8,2.2,1.4,11.4,4.0,2.1,6.1,68.43
قصرالدشت,8.12,8.75,5.31,4.75,2.25,1.62,5.0,35.81,3.38,1.75,5.12,4.75,1.75,6.5,6.62,2.25,1.25,10.12,3.62,1.5,5.12,62.69
مطهری,6.44,8.67,4.54,3.11,0.78,0.44,4.0,27.99,3.67,1.33,5.0,4.22,0.67,4.89,7.33,1.22,1.33,9.89,2.33,0.89,3.22,50.99
معالی آباد,7.86,10.0,5.43,3.86,0.0,0.0,4.64,31.79,4.86,1.29,6.14,4.86,0.43,5.29,7.43,2.0,2.14,11.57,3.71,2.29,6.0,60.79
معلم,6.75,7.62,5.36,2.75,1.75,0.38,4.75,29.36,3.5,1.38,4.88,3.88,1.38,5.25,6.12,1.5,1.5,9.12,3.0,1.5,4.5,53.11
ملاصدرا,8.78,10.11,7.07,4.0,2.44,1.89,5.78,40.07,4.22,2.89,7.11,4.67,2.78,7.44,7.44,2.67,1.33,11.44,4.0,2.56,6.56,72.62
نمازی,8.44,10.0,6.52,4.11,2.56,1.33,5.33,38.3,4.33,2.56,6.89,4.44,1.67,6.11,7.0,2.56,1.67,11.22,3.78,2.22,6.0,68.52
ولیعصر,8.92,10.83,7.88,4.58,3.25,1.92,5.92,43.29,4.75,2.75,7.5,4.33,2.0,6.33,9.08,2.5,1.42,13.0,4.33,2.17,6.5,76.62
چمران,9.55,11.91,9.11,4.73,3.36,3.0,7.0,48.65,4.27,4.0,8.27,4.82,2.82,7.64,9.73,2.64,2.0,14.36,4.45,3.27,7.73,86.65
کریم خان,8.1,9.2,5.19,3.8,1.6,1.9,5.4,35.19,3.9,2.2,6.1,4.6,1.6,6.2,7.8,3.0,1.2,12.0,4.7,2.8,7.5,66.99
